match_id,date,home_team,away_team,winner
Arg44383bianaCo,06-07-2021,Argentina,Colombia,Argentina
Gua44383upelaGu,06-07-2021,Guatemala,Guadeloupe,Guadeloupe
Eng44388alyndIt,11-07-2021,England,Italy,Italy
Sen44393inialEs,16-07-2021,Senegal,Eswatini,Senegal
Esw44395queniMo,18-07-2021,Eswatini,Mozambique,Eswatini
Sou44395galcaSe,18-07-2021,South Africa,Senegal,South Africa
Sri44519leskaSe,19-11-2021,Sri Lanka,Seychelles,Seychelles
Mor44541riacoAl,11-12-2021,Morocco,Algeria,Algeria
Qat44548yptarEg,18-12-2021,Qatar,Egypt,Qatar
Bur44584bonsoGa,23-01-2022,Burkina Faso,Gabon,Burkina Faso
Ivo44587yptstEg,26-01-2022,Ivory Coast,Egypt,Egypt
Mal44587nealiEq,26-01-2022,Mali,Equatorial Guinea,Equatorial Guinea
Cam44595yptonEg,03-02-2022,Cameroon,Egypt,Egypt
Cam44597asoonBu,05-02-2022,Cameroon,Burkina Faso,Cameroon
Sen44598yptalEg,06-02-2022,Senegal,Egypt,Senegal
Taj44645ndaanUg,25-03-2022,Tajikistan,Uganda,Uganda
Kaz44649ovaanMo,29-03-2022,Kazakhstan,Moldova,Kazakhstan
Sen44649yptalEg,29-03-2022,Senegal,Egypt,Senegal
Aus44725eruiaPe,13-06-2022,Australia,Peru,Australia
Chi44726analeGh,14-06-2022,Chile,Ghana,Ghana
Tha44826siandMa,22-09-2022,Thailand,Malaysia,Malaysia
Ira44827manaqOm,23-09-2022,Iraq,Oman,Oman
Mal44829taniaTa,25-09-2022,Malaysia,Tajikistan,Tajikistan
Lit44881andiaIc,16-11-2022,Lithuania,Iceland,Iceland
Lat44881niaiaEs,16-11-2022,Latvia,Estonia,Latvia
Lat44884andiaIc,19-11-2022,Latvia,Iceland,Iceland
Jap44900tiaanCr,05-12-2022,Japan,Croatia,Croatia
Mor44901aincoSp,06-12-2022,Morocco,Spain,Morocco
Cro44904ziliaBr,09-12-2022,Croatia,Brazil,Croatia
Net44904inadsAr,09-12-2022,Netherlands,Argentina,Argentina
Arg44913ncenaFr,18-12-2022,Argentina,France,Argentina
